"filename", "language", "C++", "JSON", "HTML", "Dart", "Markdown", "Swift", "XML", "YAML", "comment", "blank", "total"
"c:\Users\DeRep\my_app\Frontend\windows\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\DeRep\my_app\Frontend\windows\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 16, 60, 15, 91
"c:\Users\DeRep\my_app\Frontend\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\DeRep\my_app\Frontend\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\DeRep\my_app\Frontend\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\DeRep\my_app\Frontend\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\DeRep\my_app\Frontend\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\DeRep\my_app\Frontend\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\DeRep\my_app\Frontend\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\DeRep\my_app\Frontend\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"c:\Users\DeRep\my_app\Frontend\windows\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"c:\Users\DeRep\my_app\Frontend\windows\web\index.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 0, 16, 6, 60
"c:\Users\DeRep\my_app\Frontend\windows\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\DeRep\my_app\Frontend\windows\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 1030, 496, 76, 88, 16, 92, 808, 79, 488, 460, 3633
