"filename", "language", "C++", "JSON", "HTML", "Dart", "Markdown", "Swift", "XML", "YAML", "comment", "blank", "total"
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\Home.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 6, 12, 100
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\Horarios.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 84, 9, 93
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\Login.dart", "Dart", 0, 0, 0, 97, 0, 0, 0, 0, 2, 5, 104
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\LoginErrorScreen.dart", "Dart", 0, 0, 0, 128, 0, 0, 0, 0, 0, 4, 132
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\Operador.dart", "Dart", 0, 0, 0, 97, 0, 0, 0, 0, 5, 9, 111
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\OperadorCursos.dart", "Dart", 0, 0, 0, 236, 0, 0, 0, 0, 3, 29, 268
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\OperadorHorarios.dart", "Dart", 0, 0, 0, 388, 0, 0, 0, 0, 20, 22, 430
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\OperadorMenuUbicaciones.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 5, 7, 82
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\OperadorOpciones.dart", "Dart", 0, 0, 0, 88, 0, 0, 0, 0, 6, 7, 101
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\OperadorUbicacionesEdit.dart", "Dart", 0, 0, 0, 85, 0, 0, 0, 0, 2, 7, 94
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\OperadorUsuarios.dart", "Dart", 0, 0, 0, 342, 0, 0, 0, 0, 6, 19, 367
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\PantallaPrincipal.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 5, 7, 76
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\Schedule.dart", "Dart", 0, 0, 0, 192, 0, 0, 0, 0, 2, 7, 201
"c:\Users\DeRep\my_app\Frontend\lib\src\Screens\Ubications.dart", "Dart", 0, 0, 0, 183, 0, 0, 0, 0, 2, 7, 192
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Box.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 1, 7, 35
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Button.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 3, 5, 34
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\CheckBox.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Connect.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 13, 14, 58
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\FormLogin.dart", "Dart", 0, 0, 0, 113, 0, 0, 0, 0, 0, 6, 119
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\GridNavigation.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Header\Clock.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 1, 18, 83
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Header\header.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 66, 21, 146
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Items.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 10, 39
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Items\DropDownSelect.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 1, 10, 63
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Items\FieldRounded.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 2, 6, 52
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Layout.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 1, 6, 26
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\Calendar.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 1, 5, 70
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\CalendarOperador.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 1, 5, 71
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\Cards.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 1, 4, 31
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\CardsOperador.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 1, 4, 31
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\HorarioCards.dart", "Dart", 0, 0, 0, 80, 0, 0, 0, 0, 37, 26, 143
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\ListaMaterias.dart", "Dart", 0, 0, 0, 83, 0, 0, 0, 0, 43, 23, 149
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\SearchFilterHorarios.dart", "Dart", 0, 0, 0, 160, 0, 0, 0, 0, 22, 7, 189
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\SearchFilterUsuarios.dart", "Dart", 0, 0, 0, 116, 0, 0, 0, 0, 22, 7, 145
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\UbicationsPanel.dart", "Dart", 0, 0, 0, 176, 0, 0, 0, 0, 2, 11, 189
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\Weather.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\OptionBox.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 1, 5, 59
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\PanelEditor.dart", "Dart", 0, 0, 0, 78, 0, 0, 0, 0, 0, 19, 97
"c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\TablaData.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\DeRep\my_app\Frontend\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\DeRep\my_app\Frontend\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\DeRep\my_app\Frontend\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\DeRep\my_app\Frontend\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\DeRep\my_app\Frontend\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\DeRep\my_app\Frontend\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\DeRep\my_app\Frontend\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Users\DeRep\my_app\Frontend\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\DeRep\my_app\Frontend\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 57, 59, 22, 138
"c:\Users\DeRep\my_app\Frontend\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"c:\Users\DeRep\my_app\Frontend\web\index.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 0, 16, 6, 60
"c:\Users\DeRep\my_app\Frontend\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\DeRep\my_app\Frontend\windows\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 17
